take_id	filename	bucket	est_seconds	transcript
001	001.txt	phonetic-harvard	27	The birch canoe slid on the smooth planks. The boy was there when the sun rose. The small pup gnawed a hole in the sock. Hoist the load to your left shoulder. A king ruled the state in the early days. Oak is strong and also gives shade.
002	002.txt	phonetic-harvard	27	Glue the sheet to the dark blue background. A rod is used to catch pink salmon. The fish twisted and turned on the bent hook. Take the winding path to reach the lake. The ship was torn apart on the sharp reef. Cats and dogs each hate the other.
003	003.txt	phonetic-harvard	27	It's easy to tell the depth of a well. The source of the huge river is the clear spring. Press the pants and sew a button on the vest. Note closely the size of the gas tank. Sickness kept him home the third week. The pipe began to rust while new.
004	004.txt	phonetic-harvard	27	These days a chicken leg is a rare dish. Kick the ball straight and follow through. The swan dive was far short of perfect. Wipe the grease off his dirty face. The wide road shimmered in the hot sun. Open the crate but don't break the glass.
005	005.txt	phonetic-harvard	27	Rice is often served in round bowls. Help the woman get back to her feet. The beauty of the view stunned the young boy. Mend the coat before you go out. The lazy cow lay in the cool grass. Add the sum to the product of these three.
006	006.txt	phonetic-harvard	27	The juice of lemons makes fine punch. A pot of tea helps to pass the evening. Two blue fish swam in the tank. The wrist was badly strained and hung limp. Lift the square stone over the fence. Thieves who rob friends deserve jail.
007	007.txt	phonetic-harvard	27	The box was thrown beside the parked truck. Smoky fires lack flame and heat. Her purse was full of useless trash. The stray cat gave birth to kittens. The rope will bind the seven books at once. The ripe taste of cheese improves with age.
008	008.txt	phonetic-harvard	27	The hogs were fed chopped corn and garbage. The soft cushion broke the man's fall. The colt reared and threw the tall rider. The young girl gave no clear response. Hop over the fence and plunge in. Act on these orders with great speed.
009	009.txt	phonetic-harvard	27	Four hours of steady work faced us. The salt breeze came across from the sea. It snowed, rained, and hailed the same morning. The meal was cooked before the bell rang. The friendly gang left the drug store. The hog crawled under the high fence.
010	010.txt	phonetic-harvard	27	A large size in stockings is hard to sell. The girl at the booth sold fifty bonds. Read verse out loud for pleasure. What joy there is in living. Mesh wire keeps chicks inside. Move the vat over the hot fire.
011	011.txt	phonetic-harvard	27	The frosty air passed through the coat. We talked of the side show in the circus. A yacht slid around the point into the bay. The Navy attacked the big task force. The heap of fallen leaves was set on fire. The bark of the pine tree was shiny and dark.
012	012.txt	phonetic-harvard	27	The crooked maze failed to fool the mouse. Use a pencil to write the first draft. The two met while playing on the sand. See the cat glaring at the scared mouse. Write fast if you want to finish early. Leaves turn brown and yellow in the fall.
013	013.txt	phonetic-harvard	27	Adding fast leads to wrong sums. He ran half way to the hardware store. The ink stain dried on the finished page. There are more than two factors here. His shirt was clean but one button was gone. The pennant waved when the wind blew.
014	014.txt	phonetic-harvard	27	The show was a flop from the very start. The clock struck to mark the third period. The walled town was seized without a fight. The hat brim was wide and too droopy. The barrel of beer was a brew of malt and hops. Split the log with a quick, sharp blow.
015	015.txt	phonetic-harvard	27	A saw is a tool used for making boards. A small creek cut across the field. The lease ran out in sixteen weeks. The lawyer tried to lose his case. Tin cans are absent from store shelves. Burn peat after the logs give out.
016	016.txt	phonetic-harvard	27	The wagon moved on well oiled wheels. Cars and busses stalled in snow drifts. A tame squirrel makes a nice pet. The grass curled around the fence post. Slide the box into that empty space. He ordered peach pie with ice cream.
017	017.txt	phonetic-harvard	27	March the soldiers past the next hill. The set of china hit the floor with a crash. The horn of the car woke the sleeping cop. Cut the pie into large parts. The plant grew large and green in the window. Weave the carpet on the right hand side.
018	018.txt	phonetic-harvard	27	A cup of sugar makes sweet fudge. This is a grand season for hikes on the road. The heart beat strongly and with firm strokes. Men strive but seldom get rich. The beam dropped down on the workmen's head. Hemp is a weed found in parts of the tropics.
019	019.txt	phonetic-harvard	27	Place a rosebush near the porch steps. The dune rose from the edge of the water. The pearl was worn in a thin silver ring. Always close the barn door tight. Pink clouds floated with the breeze. A lame back kept his score low.
020	020.txt	phonetic-harvard	27	Both lost their lives in the raging storm. Those words were the cue for the actor to leave. The fruit peel was cut in thick slices. He lay prone and hardly moved a limb. She danced like a swan, tall and graceful. Type out three lists of orders.
021	021.txt	phonetic-harvard	27	The harder he tried the less he got done. The boss ran the show with a watchful eye. The cup cracked and spilled its contents. Paste can cleanse the most dirty brass. The slang word for raw whiskey is booze. It caught its hind paw in a rusty trap.
022	022.txt	phonetic-harvard	27	The wharf could be seen at the farther shore. Feel the heat of the weak dying flame. The tiny girl took off her hat. A cramp is no small danger on a swim. He said the same phrase thirty times. Pluck the bright rose without leaves.
023	023.txt	phonetic-harvard	27	Two plus seven is less than ten. The glow deepened in the eyes of the sweet girl. Bring your problems to the wise chief. Write a fond note to the friend you cherish. We frown when events take a bad turn. Port is a strong wine with a smoky taste.
024	024.txt	phonetic-harvard	27	The young kid jumped the rusty gate. Guess the results from the first scores. A salt pickle tastes fine with ham. The just claim got the right verdict. These thistles bend in a high wind. Pure bred poodles have curls.
025	025.txt	phonetic-pangram	28	The quick brown fox jumps over the lazy dog. Pack my box with five dozen liquor jugs. How vexingly quick daft zebras jump! Sphinx of black quartz, judge my vow. The five boxing wizards jump quickly.
026	026.txt	phonetic-pangram	28	Jackdaws love my big sphinx of quartz. Waltz, bad nymph, for quick jigs vex. Two driven jocks help fax my big quiz. Bright vixens jump; dozy fowl quack. Quick zephyrs blow, vexing daft Jim.
027	027.txt	phonetic-pangram	28	Five quacking zephyrs jolt my wax bed. Grumpy wizards make toxic brew for the evil queen and jack. The jay, pig, fox, zebra, and my wolves quack! Amazingly few discotheques provide jukeboxes. We promptly judged antique ivory buckles for the next prize.
028	028.txt	prosody-question-yesno	29	Are you coming with us tonight? Did you remember to lock the back door? Is this the train that goes downtown? Would you like tea, or would you rather have coffee? Have you finished all of your reading for the week? Can we still make it there before the shop closes?
029	029.txt	prosody-question-wh	29	Where did you leave the car keys this morning? What time does the library open on Sundays? Who was that standing near the front entrance? Why does the printer always jam on the last page? How far is it from here to the station? Which of these routes gets us home the fastest?
030	030.txt	prosody-exclamation	22	What a beautiful morning this turned out to be! I can't believe we actually finished on time! Watch out for that step! That was the best meal I've had all year! We won, we finally won! Look how much snow fell overnight!
031	031.txt	prosody-imperative	30	Please close the window before you leave. Turn left at the second set of lights, then park on the right. Hand me the blue folder on the top shelf. Take a deep breath and start again from the top. Save your work before you shut the laptop down. Meet me by the front doors at noon.
032	032.txt	prosody-imperative	28	First, preheat the oven and grease the pan. Next, stir the batter until it is smooth. Pour it slowly into the centre of the tray. Set the timer for thirty-five minutes. When it cools, cut it into even squares. Share it with the people you love.
033	033.txt	prosody-list	30	For the trip we need sunscreen, a water bottle, a hat, and a good pair of shoes. The store had apples, oranges, pears, grapes, and a few ripe bananas. My favourite seasons, in order, are autumn, spring, summer, and winter. We visited Toronto, Ottawa, Montreal, and Quebec City in a single week.
034	034.txt	prosody-list	24	The kit includes a cable, a charger, a case, and a short guide. On weekdays I study, on Saturdays I rest, and on Sundays I plan. Red, orange, yellow, green, blue, and violet make up the rainbow. She speaks English, French, and a little bit of Spanish.
035	035.txt	prosody-contrast	26	I said the blue one, not the red one. We are meeting on Thursday, not on Tuesday. She asked for two copies, not twelve. I wanted it warmed, not frozen. He lives on Maple Street, not Maple Avenue. The answer is sixteen, not sixty.
036	036.txt	prosody-contrast	24	You take the left path; I'll take the right. It's not what you say, it's how you say it. I don't want a bigger one, I want a better one. They didn't lose the game, they chose not to play. It wasn't broken, it was simply switched off.
037	037.txt	emotion-neutral	33	The meeting is scheduled for ten in the morning in the second-floor room. Bring a notebook and a pen, since the screens will be off for the first hour. Coffee and tea will be set out near the entrance. If you arrive early, feel free to take any open seat.
038	038.txt	emotion-neutral	31	The library closes at nine on weeknights and at six on weekends. You can renew most books online, up to three times, before they are due. Study rooms can be booked in one-hour blocks from the front desk. Late returns add a small fee to your account.
039	039.txt	emotion-neutral	33	To reset the router, hold the small button on the back for ten seconds. The lights will blink twice and then turn a steady green. Wait about two minutes for the network to come back online. If it does not, unplug the power and try once more.
040	040.txt	emotion-warm	31	It's so good to hear your voice again. I was just thinking about the walk we took last autumn, when the leaves were every shade of gold. Let's find a weekend soon and do it all over again. I've missed these easy afternoons with you.
041	041.txt	emotion-warm	28	Thank you for everything you did this week. You noticed the little things, and that meant more than you know. Get some rest tonight; you've earned it. I'm proud of you, and I'm lucky to have you around.
042	042.txt	emotion-warm	29	Come in, come in, you must be tired from the road. There's soup on the stove and a warm seat by the window. Take your time, there's no rush at all. It's just lovely to have you home.
043	043.txt	emotion-excited	30	You will not believe what happened today. The results came back, and every single test passed on the first try! Months of work, and it finally clicked into place. I honestly can't stop smiling. We have to celebrate this weekend.
044	044.txt	emotion-excited	28	This is the one, I can feel it! Look at how smoothly it runs now. Everything we planned is actually coming together. I've been waiting ages for a day like this. Let's keep this energy going and finish strong!
045	045.txt	emotion-serious	33	I want to be honest with you about where the project stands. We are behind, and pretending otherwise won't help anyone. If we focus on the essentials and cut the rest, we can still land it. It will take real discipline over the next two weeks.
